building_name,building_display_name,results_dataframe,metadata_dataframe
medium_office,Medium Office,data/asset_score_preflight_medium_office_results.RData,data/asset_score_preflight_medium_office_metadata.RData
warehouse_heatonly,Warehouse (heat-only),data/asset_score_preflight_warehouse_heat-only_results.RData,data/asset_score_preflight_warehouse_heat-only_metadata.RData
warehouse,Warehouse,data/asset_score_preflight_warehouse_results.RData,data/asset_score_preflight_warehouse_metadata.RData
small_office,Small Office,data/asset_score_preflight_small_office_results.RData,data/asset_score_preflight_small_office_metadata.RData
small_hotel,Small Hotel,data/asset_score_preflight_small_hotel_results.RData,data/asset_score_preflight_small_hotel_metadata.RData
senior_center,Senior Center,data/asset_score_preflight_senior_center_results.Rdata,data/asset_score_preflight_senior_center_metadata.Rdata
secondary_school,Secondary School,data/asset_score_preflight_secondary_school_results.RData,data/asset_score_preflight_secondary_school_metadata.RData
retail_stripmall,Retail Stripmall,data/asset_score_preflight_retail_stripmall_results.RData,data/asset_score_preflight_retail_stripmall_metadata.RData
retail,Retail,data/asset_score_preflight_retail_results.Rdata,data/asset_score_preflight_retail_metadata.RData
religious_building,Religious Building,data/asset_score_preflight_religious_building_results.Rdata,data/asset_score_preflight_religious_building_metadata.Rdata
primary_school,Primary School,data/asset_score_preflight_primary_school_results.RData,data/asset_score_preflight_primary_school_metadata.RData
post_office,Post Office,data/asset_score_preflight_post_office_results.Rdata,data/asset_score_preflight_post_office_metadata.Rdata
police_station,Police Station,data/asset_score_preflight_police_station_results.Rdata,data/asset_score_preflight_police_station_metadata.Rdata
medical_office,Medical Office,data/asset_score_preflight_medical_office_results.Rdata,data/asset_score_preflight_medical_office_metadata.Rdata
library,Library,data/asset_score_preflight_library_results.Rdata,data/asset_score_preflight_library_metadata.Rdata
large_hotel,Large Hotel,data/asset_score_preflight_large_hotel_results.RData,data/asset_score_preflight_large_hotel_metadata.RData
courthouse,Courthouse,data/asset_score_preflight_courthouse_results.Rdata,data/asset_score_preflight_courthouse_metadata.Rdata
community_center,Community Center,data/asset_score_preflight_community_center_results.Rdata,data/asset_score_preflight_community_center_metadata.Rdata
city_hall,City Hall,data/asset_score_preflight_city_hall_results.Rdata,data/asset_score_preflight_city_hall_metadata.Rdata
assisted_living,Assisted Living,data/asset_score_preflight_assisted_living_results.Rdata,data/asset_score_preflight_assisted_living_metadata.Rdata
apartment_midrise,Apartment Midrise,data/asset_score_preflight_apartment_midrise_results.RData,data/asset_score_preflight_apartment_midrise_metadata.RData
